Round: 1, Train time: 19.9708s, Encrypt+Serialize time: 1.0914s, Decrypt+Deserialize time: 0.2695s
Round: 2, Train time: 23.2043s, Encrypt+Serialize time: 1.1267s, Decrypt+Deserialize time: 0.3095s
Round: 3, Train time: 38.8424s, Encrypt+Serialize time: 1.5328s, Decrypt+Deserialize time: 0.4314s
Round: 4, Train time: 28.0776s, Encrypt+Serialize time: 1.4044s, Decrypt+Deserialize time: 0.3397s
Round: 5, Train time: 30.9354s, Encrypt+Serialize time: 1.2505s, Decrypt+Deserialize time: 0.2787s
Round: 6, Train time: 25.4669s, Encrypt+Serialize time: 1.2978s, Decrypt+Deserialize time: 0.3099s
Round: 7, Train time: 27.5073s, Encrypt+Serialize time: 1.0802s, Decrypt+Deserialize time: 0.2676s
Round: 8, Train time: 26.1545s, Encrypt+Serialize time: 1.3221s, Decrypt+Deserialize time: 0.3891s
Round: 9, Train time: 32.3649s, Encrypt+Serialize time: 1.1765s, Decrypt+Deserialize time: 0.3093s
Round: 10, Train time: 21.8900s, Encrypt+Serialize time: 1.0498s, Decrypt+Deserialize time: 0.3774s
Round: 11, Train time: 33.3600s, Encrypt+Serialize time: 1.1581s, Decrypt+Deserialize time: 0.3113s
Round: 12, Train time: 32.7494s, Encrypt+Serialize time: 1.4629s, Decrypt+Deserialize time: 0.4251s
Round: 13, Train time: 35.8354s, Encrypt+Serialize time: 1.4876s, Decrypt+Deserialize time: 0.4240s
Round: 14, Train time: 29.8717s, Encrypt+Serialize time: 1.0313s, Decrypt+Deserialize time: 0.3163s
Round: 15, Train time: 26.8859s, Encrypt+Serialize time: 1.4094s, Decrypt+Deserialize time: 0.4535s
Round: 16, Train time: 30.8733s, Encrypt+Serialize time: 1.1729s, Decrypt+Deserialize time: 0.2898s
Round: 17, Train time: 28.0611s, Encrypt+Serialize time: 1.1306s, Decrypt+Deserialize time: 0.3607s
Round: 18, Train time: 19.9171s, Encrypt+Serialize time: 1.0303s, Decrypt+Deserialize time: 0.3038s
Round: 19, Train time: 39.0599s, Encrypt+Serialize time: 1.7451s, Decrypt+Deserialize time: 0.4760s
Round: 20, Train time: 32.0230s, Encrypt+Serialize time: 1.1778s, Decrypt+Deserialize time: 0.3175s
Round: 21, Train time: 33.3854s, Encrypt+Serialize time: 1.4996s, Decrypt+Deserialize time: 0.4130s
Round: 22, Train time: 36.5351s, Encrypt+Serialize time: 1.6004s, Decrypt+Deserialize time: 0.3799s
Round: 23, Train time: 29.2585s, Encrypt+Serialize time: 1.2546s, Decrypt+Deserialize time: 0.3285s
Round: 24, Train time: 30.4544s, Encrypt+Serialize time: 1.5990s, Decrypt+Deserialize time: 0.4579s
Round: 25, Train time: 33.6542s, Encrypt+Serialize time: 1.2930s, Decrypt+Deserialize time: 0.3446s
Round: 26, Train time: 24.3122s, Encrypt+Serialize time: 1.2438s, Decrypt+Deserialize time: 0.3949s
Round: 27, Train time: 24.2699s, Encrypt+Serialize time: 1.1598s, Decrypt+Deserialize time: 0.3050s
Round: 28, Train time: 24.4897s, Encrypt+Serialize time: 1.1549s, Decrypt+Deserialize time: 0.2828s
Round: 29, Train time: 26.7507s, Encrypt+Serialize time: 1.1855s, Decrypt+Deserialize time: 0.3232s
Round: 30, Train time: 31.8738s, Encrypt+Serialize time: 1.7314s, Decrypt+Deserialize time: 0.4304s
Round: 31, Train time: 24.5519s, Encrypt+Serialize time: 1.2500s, Decrypt+Deserialize time: 0.3190s
Round: 32, Train time: 29.7695s, Encrypt+Serialize time: 1.5718s, Decrypt+Deserialize time: 0.3497s
Round: 33, Train time: 23.0912s, Encrypt+Serialize time: 1.0666s, Decrypt+Deserialize time: 0.3221s
Round: 34, Train time: 40.2663s, Encrypt+Serialize time: 1.6191s, Decrypt+Deserialize time: 0.3138s
Round: 35, Train time: 29.6036s, Encrypt+Serialize time: 1.7826s, Decrypt+Deserialize time: 0.5970s
Round: 36, Train time: 23.0926s, Encrypt+Serialize time: 1.9299s, Decrypt+Deserialize time: 0.5196s
Round: 37, Train time: 29.1419s, Encrypt+Serialize time: 1.2483s, Decrypt+Deserialize time: 0.3173s
Round: 38, Train time: 34.9664s, Encrypt+Serialize time: 2.1538s, Decrypt+Deserialize time: 0.5954s
Round: 39, Train time: 25.2038s, Encrypt+Serialize time: 1.2810s, Decrypt+Deserialize time: 0.3064s
Round: 40, Train time: 30.4169s, Encrypt+Serialize time: 1.1148s, Decrypt+Deserialize time: 0.3677s
Round: 41, Train time: 26.5454s, Encrypt+Serialize time: 1.3183s, Decrypt+Deserialize time: 0.3424s
Round: 42, Train time: 22.1861s, Encrypt+Serialize time: 0.9445s, Decrypt+Deserialize time: 0.2723s
Round: 43, Train time: 25.9221s, Encrypt+Serialize time: 1.2148s, Decrypt+Deserialize time: 0.3016s
Round: 44, Train time: 38.4536s, Encrypt+Serialize time: 1.9685s, Decrypt+Deserialize time: 0.4949s
Round: 45, Train time: 24.6213s, Encrypt+Serialize time: 1.3984s, Decrypt+Deserialize time: 0.3491s
Round: 46, Train time: 31.8110s, Encrypt+Serialize time: 1.3254s, Decrypt+Deserialize time: 0.3817s
Round: 47, Train time: 28.1989s, Encrypt+Serialize time: 1.1826s, Decrypt+Deserialize time: 0.2655s
Round: 48, Train time: 27.6475s, Encrypt+Serialize time: 1.7157s, Decrypt+Deserialize time: 0.4753s
Round: 49, Train time: 30.4434s, Encrypt+Serialize time: 1.4444s, Decrypt+Deserialize time: 0.3803s
Round: 50, Train time: 27.7822s, Encrypt+Serialize time: 1.4630s, Decrypt+Deserialize time: 0.3641s
Round: 51, Train time: 22.8035s, Encrypt+Serialize time: 1.3042s, Decrypt+Deserialize time: 0.3351s
Round: 52, Train time: 25.4630s, Encrypt+Serialize time: 1.5166s, Decrypt+Deserialize time: 0.4227s
Round: 53, Train time: 25.5891s, Encrypt+Serialize time: 1.6040s, Decrypt+Deserialize time: 0.4275s
Round: 54, Train time: 31.6808s, Encrypt+Serialize time: 1.2755s, Decrypt+Deserialize time: 0.3608s
Round: 55, Train time: 23.8325s, Encrypt+Serialize time: 1.2748s, Decrypt+Deserialize time: 0.3456s
Round: 56, Train time: 33.5613s, Encrypt+Serialize time: 1.5072s, Decrypt+Deserialize time: 0.4101s
Round: 57, Train time: 21.9945s, Encrypt+Serialize time: 1.2832s, Decrypt+Deserialize time: 0.3607s
Round: 58, Train time: 24.8494s, Encrypt+Serialize time: 1.3377s, Decrypt+Deserialize time: 0.3242s
Round: 59, Train time: 27.3299s, Encrypt+Serialize time: 1.1567s, Decrypt+Deserialize time: 0.3217s
Round: 60, Train time: 26.7131s, Encrypt+Serialize time: 1.2711s, Decrypt+Deserialize time: 0.3158s
Round: 61, Train time: 41.4094s, Encrypt+Serialize time: 1.4034s, Decrypt+Deserialize time: 0.3418s
Round: 62, Train time: 36.5188s, Encrypt+Serialize time: 1.5029s, Decrypt+Deserialize time: 0.4081s
Round: 63, Train time: 24.0528s, Encrypt+Serialize time: 1.3799s, Decrypt+Deserialize time: 0.4614s
Round: 64, Train time: 32.7884s, Encrypt+Serialize time: 1.5088s, Decrypt+Deserialize time: 0.3442s
Round: 65, Train time: 26.5523s, Encrypt+Serialize time: 1.5679s, Decrypt+Deserialize time: 0.4217s
Round: 66, Train time: 28.1800s, Encrypt+Serialize time: 1.7625s, Decrypt+Deserialize time: 0.5060s
Round: 67, Train time: 27.1986s, Encrypt+Serialize time: 1.3415s, Decrypt+Deserialize time: 0.3426s
Round: 68, Train time: 28.1781s, Encrypt+Serialize time: 1.6325s, Decrypt+Deserialize time: 0.4631s
Round: 69, Train time: 28.6911s, Encrypt+Serialize time: 1.2793s, Decrypt+Deserialize time: 0.4047s
Round: 70, Train time: 29.3364s, Encrypt+Serialize time: 1.6194s, Decrypt+Deserialize time: 0.4399s
Round: 71, Train time: 23.9096s, Encrypt+Serialize time: 1.4600s, Decrypt+Deserialize time: 0.3157s
Round: 72, Train time: 24.7099s, Encrypt+Serialize time: 1.2248s, Decrypt+Deserialize time: 0.3245s
