Deserialize time: 0.4468s, Aggregation+Serialization time: 0.5468s 
Deserialize time: 0.3865s, Aggregation+Serialization time: 0.1321s 
Deserialize time: 0.5313s, Aggregation+Serialization time: 0.1617s 
Deserialize time: 0.3870s, Aggregation+Serialization time: 0.1428s 
Deserialize time: 0.1741s, Aggregation+Serialization time: 0.1967s 
Deserialize time: 0.4578s, Aggregation+Serialization time: 0.1451s 
Deserialize time: 0.4477s, Aggregation+Serialization time: 0.1612s 
Deserialize time: 0.4064s, Aggregation+Serialization time: 0.1281s 
Deserialize time: 0.1411s, Aggregation+Serialization time: 0.1480s 
Deserialize time: 0.2531s, Aggregation+Serialization time: 0.2817s 
Deserialize time: 0.6023s, Aggregation+Serialization time: 0.2257s 
Deserialize time: 0.1684s, Aggregation+Serialization time: 0.2133s 
Deserialize time: 0.1631s, Aggregation+Serialization time: 0.2277s 
Deserialize time: 0.1658s, Aggregation+Serialization time: 0.1790s 
Deserialize time: 0.4433s, Aggregation+Serialization time: 0.1614s 
Deserialize time: 0.1206s, Aggregation+Serialization time: 0.1455s 
Deserialize time: 0.1655s, Aggregation+Serialization time: 0.1669s 
Deserialize time: 0.1185s, Aggregation+Serialization time: 0.1442s 
Deserialize time: 0.4293s, Aggregation+Serialization time: 0.1623s 
Deserialize time: 0.1103s, Aggregation+Serialization time: 0.1593s 
Deserialize time: 0.1104s, Aggregation+Serialization time: 0.1515s 
Deserialize time: 0.1357s, Aggregation+Serialization time: 0.1928s 
Deserialize time: 0.1430s, Aggregation+Serialization time: 0.2161s 
Deserialize time: 0.1528s, Aggregation+Serialization time: 0.2099s 
Deserialize time: 0.1457s, Aggregation+Serialization time: 0.1922s 
Deserialize time: 0.1469s, Aggregation+Serialization time: 0.2015s 
Deserialize time: 0.1422s, Aggregation+Serialization time: 0.2034s 
Deserialize time: 0.1684s, Aggregation+Serialization time: 0.1968s 
Deserialize time: 0.1517s, Aggregation+Serialization time: 0.1480s 
Deserialize time: 0.1523s, Aggregation+Serialization time: 0.1529s 
Deserialize time: 0.1023s, Aggregation+Serialization time: 0.1415s 
Deserialize time: 0.1034s, Aggregation+Serialization time: 0.1552s 
Deserialize time: 0.1307s, Aggregation+Serialization time: 0.1457s 
Deserialize time: 0.1200s, Aggregation+Serialization time: 0.1660s 
Deserialize time: 0.1272s, Aggregation+Serialization time: 0.1733s 
Deserialize time: 0.1030s, Aggregation+Serialization time: 0.1586s 
Deserialize time: 0.1494s, Aggregation+Serialization time: 0.2339s 
Deserialize time: 0.1653s, Aggregation+Serialization time: 0.2340s 
Deserialize time: 0.1676s, Aggregation+Serialization time: 0.2060s 
Deserialize time: 0.1155s, Aggregation+Serialization time: 0.1678s 
Deserialize time: 0.1195s, Aggregation+Serialization time: 0.1336s 
Deserialize time: 0.1067s, Aggregation+Serialization time: 0.1478s 
Deserialize time: 0.1064s, Aggregation+Serialization time: 0.1299s 
Deserialize time: 0.1172s, Aggregation+Serialization time: 0.1775s 
Deserialize time: 0.0950s, Aggregation+Serialization time: 0.1518s 
Deserialize time: 0.1199s, Aggregation+Serialization time: 0.1284s 
Deserialize time: 0.1505s, Aggregation+Serialization time: 0.2148s 
Deserialize time: 0.1560s, Aggregation+Serialization time: 0.2170s 
Deserialize time: 0.1868s, Aggregation+Serialization time: 0.2665s 
Deserialize time: 0.1518s, Aggregation+Serialization time: 0.2050s 
Deserialize time: 0.1207s, Aggregation+Serialization time: 0.1681s 
Deserialize time: 0.1635s, Aggregation+Serialization time: 0.2152s 
Deserialize time: 0.1665s, Aggregation+Serialization time: 0.2627s 
Deserialize time: 0.1328s, Aggregation+Serialization time: 0.2185s 
Deserialize time: 0.1310s, Aggregation+Serialization time: 0.1599s 
Deserialize time: 0.1279s, Aggregation+Serialization time: 0.1491s 
Deserialize time: 0.1162s, Aggregation+Serialization time: 0.1560s 
Deserialize time: 0.1038s, Aggregation+Serialization time: 0.1307s 
Deserialize time: 0.1121s, Aggregation+Serialization time: 0.1332s 
Deserialize time: 0.1196s, Aggregation+Serialization time: 0.1529s 
Deserialize time: 0.1154s, Aggregation+Serialization time: 0.1646s 
Deserialize time: 0.1459s, Aggregation+Serialization time: 0.1995s 
Deserialize time: 0.1316s, Aggregation+Serialization time: 0.1821s 
Deserialize time: 0.1686s, Aggregation+Serialization time: 0.1751s 
Deserialize time: 0.1279s, Aggregation+Serialization time: 0.1553s 
